Architecture,NORAD_CAT_ID,ObjectName,X_old_m,Y_old_m,Z_old_m,Az_old_deg,El_old_deg,Range_old_km,Visible_old,ObjectName_new,X_new_m,Y_new_m,Z_new_m,Az_new_deg,El_new_deg,Range_new_km,Visible_new,dX_m,dY_m,dZ_m,PositionDiff3D_m,AzimuthDiff_deg,ElevationDiff_deg,RangeDiff_m,VisibilityChanged
GEO,38087,SES 4,39086222.740903,-15789991.0162358,17087.0068741028,45.0032402140899,54.1013624986736,36819.4953401175,1,SES 4,39086346.7217081,-15789629.7320438,24474.6420362004,44.9912353944173,54.0922879744417,36819.9953476362,1,123.980805106461,361.28419200331,7387.63516209757,7397.50301086027,-0.0120048196726259,-0.0090745242318917,500.00751871994,0
GEO,41589,EUTE 117W B,-19147141.2512443,-37566041.1960455,1896.94360067683,276.429816995895,6.27323595832616,40987.0571812205,1,EUTE 117W B,-19144951.8262545,-37567141.0381598,-939.4318723926,276.427549458435,6.27790923471064,40986.5351338316,1,2189.42498985305,-1099.84211420268,-2836.37547306943,3748.10089066406,-0.00226753745977248,0.00467327638448012,-522.047388847568,0
GEO,41904,STARONE D1,4394575.14422311,-41932662.0319523,1790.96440116684,294.216599837086,37.3406560176673,37985.3125490381,1,STARONE D1,4394800.50544468,-41932687.6145761,-3851.03023687049,294.207831556629,37.3455227496189,37984.9731398669,1,225.361221564002,-25.5826238244772,-5641.99463803734,5646.55165977153,-0.00876828045664979,0.00486673195162979,-339.409171210718,0
GEO,42692,SGDC,10985072.9433431,-40707252.3293459,5044.4134942018,302.182413957248,45.5814277010485,37368.3126066722,1,SGDC,10983061.3201966,-40707887.4674777,376.40026686869,302.171548259795,45.5833905310938,37368.267443763,1,-2011.62314648367,-635.138131819665,-4668.01322733311,5122.53605360832,-0.0108656974528571,0.00196283004527231,-45.1629092131043,0
GEO,43175,SES 14,28481992.6149524,-31085061.3385624,5660.35486634706,349.10928192116,62.8151138064478,36383.0808056487,1,SES 14,28482690.7078701,-31084476.7632199,8378.51928851002,349.11400001101,62.8111617872626,36383.2948543781,1,698.092917662114,584.575342491269,2718.16442216296,2866.6147070458,0.00471808984951849,-0.00395201918515653,214.048729358183,0
GEO,43228,HISPASAT 30W-6,36493454.0795895,-21087078.6727449,20213.3398276434,31.1359932117341,59.3448005275951,36532.4440847541,1,HISPASAT 30W-6,36494011.2200715,-21086045.4462184,26639.5544373358,31.1297501397004,59.335087591415,36532.8900917548,1,557.140481941402,1033.22652644292,6426.21460969238,6532.54902632862,-0.00624307203372609,-0.00971293618003699,446.007000718964,0
GEO,43562,TELSTAR 19V,19129280.5193364,-37566152.5033232,-17142.3284611536,317.144697247998,55.1997820842728,36758.5569175018,1,TELSTAR 19V,19130061.0304763,-37565793.9925773,-19072.0040968963,317.143220618637,55.2029571956807,36758.4167144551,1,780.511139828712,358.510745875537,-1929.6756357427,2112.19687848551,-0.00147662936183224,0.00317511140789861,-140.203046721581,0
LEO,48482,STARLINK-2525,3903419.23786253,-4983805.07433055,-2623393.70202456,269.897762456112,23.1947657573421,1041.86565391112,1,STARLINK-2525,3903411.88303337,-4983803.98648582,-2623406.717391,269.896903505477,23.1946445285598,1041.86935556647,1,-7.35482915258035,1.08784472383559,-13.0153664359823,14.9892188412111,-0.000858950634892608,-0.000121228782298033,3.70165534263833,0
LEO,56537,STARLINK-6311,5266158.62402871,-3271814.16997048,-2943327.87553348,106.673164629352,16.1217524763954,1329.04671267547,1,STARLINK-6311,5266152.52610922,-3271813.71706992,-2943339.2939732,106.673745843487,16.1217564239417,1329.04659723609,1,-6.09791949018836,0.452900561038405,-11.4184397179633,12.9526254720721,0.000581214135451091,3.94754626142912e-06,-0.115439375576898,0
LEO,57470,STARLINK-30186,4682138.5442905,-3693767.93819929,-3194307.25229674,141.601537454233,22.3163543770973,897.39526715633,1,STARLINK-30186,4682131.77209762,-3693766.48626021,-3194318.86204598,141.602288442464,22.3161049846274,897.402273854977,1,-6.77219288609922,1.45193907944486,-11.6097492384724,13.5187647718704,0.00075098823162989,-0.000249392469925169,7.00669864670544,0
LEO,58736,STARLINK-31076,5523038.46842874,-3341179.75631878,-2330804.72421977,77.8934015440864,14.1357955959954,1422.24625995765,1,STARLINK-31076,5523033.04023797,-3341180.59925044,-2330816.5074355,77.8938581345586,14.1359196170918,1422.24003519572,1,-5.42819076962769,-0.842931656632572,-11.7832157365046,13.0007677428002,0.000456590472253993,0.000124021096331361,-6.22476192893373,0
LEO,59340,STARLINK-31562,4351035.38379753,-4802568.82487113,-2258175.61291001,308.530705107683,34.4187057739166,804.273785421433,1,STARLINK-31562,4351028.67517544,-4802568.74448212,-2258188.71601828,308.529515675035,34.4189453674273,804.269824333788,1,-6.70862208865583,0.080389017239213,-13.1031082705595,14.7208532046379,-0.00118943264806148,0.000239593510642067,-3.96108764425662,0
LEO,59544,STARLINK-31556,4506328.82799725,-4845540.94640858,-1818852.15622156,333.058048654194,22.9701800817053,1064.23765101053,1,STARLINK-31556,4506322.51857224,-4845541.75093671,-1818865.65275762,333.057421687819,22.970470824131,1064.22879181982,1,-6.30942501034588,-0.804528137668967,-13.4965360632632,14.9202076122433,-0.000626966374966287,0.000290742425708146,-8.85919070447017,0
LEO,59960,STARLINK-31856,5145628.18266631,-3756020.82630401,-2502146.79221291,80.2804776145775,27.8537409633645,903.950281814602,1,STARLINK-31856,5145622.06446001,-3756021.08842177,-2502158.98630574,80.2813359948084,27.8539778863297,903.944909703246,1,-6.11820629704744,-0.262117758858949,-12.1940928259864,13.6454041296516,0.000858380230852163,0.000236922965136444,-5.37211135588223,0
LEO,60271,STARLINK-32164,3584793.98429167,-4884333.61051836,-3184873.98120585,240.051160551497,15.4418569354768,1321.14734607474,1,STARLINK-32164,3584786.18393018,-4884331.22806889,-3184886.41901293,240.050683984808,15.4416586013865,1321.15673281998,1,-7.8003614898771,2.38244946487248,-12.4378070826642,14.873491515142,-0.000476566689059155,-0.000198334090324437,9.38674523899863,0
LEO,64037,STARLINK-34008,5015675.26404622,-3276386.25993581,-3532126.30263828,133.031901384635,16.7836289790394,1497.7870893745,1,STARLINK-34008,5015668.44146702,-3276384.58114986,-3532137.55211874,133.032367645787,16.7835142627001,1497.79263433748,1,-6.82257919758558,1.67878595320508,-11.2494804565795,13.2633600466462,0.000466261151814251,-0.00011471633932203,5.54496297422702,0
LEO,64047,STARLINK-33961,5080778.97297204,-3267159.12141127,-3446060.9308973,128.77607548587,17.2136814608431,1476.50061536272,1,STARLINK-33961,5080772.29989419,-3267157.64779378,-3446072.17075446,128.7765647118,17.2135831832007,1476.50526277216,1,-6.67307784967124,1.47361749317497,-11.2398571604863,13.1543112891591,0.000489225930238035,-9.82776424081067e-05,4.64740944062214,0
LEO,65175,STARLINK-34949,4566261.61833383,-4388060.67480693,-2609964.23468101,299.745939478593,80.4059290332709,480.87896455941,1,STARLINK-34949,4566254.80341694,-4388060.17914832,-2609976.99653777,299.735833397304,80.4062965591807,480.878513591036,1,-6.81491689197719,0.49565861094743,-12.7618567598984,14.4759717346825,-0.0101060812881428,0.000367525909794608,-0.450968374536842,0
LEO,65279,STARLINK-35023,4274581.45319988,-5056804.33406444,-2053033.08246064,310.592774092448,25.9100075670765,1107.74690360492,1,STARLINK-35023,4274574.60318272,-5056804.57193685,-2053046.76619125,310.591959585665,25.910177411834,1107.74212808274,1,-6.85001716762781,-0.237872402183712,-13.6837306150701,15.3043719904582,-0.00081450678260353,0.000169844757486715,-4.77552218171695,0
LEO,65348,STARLINK-34859,4924629.05176185,-3989549.97818308,-2584194.19150695,82.798610511026,43.9631323281111,652.882468778254,1,STARLINK-34859,4924622.62050169,-3989549.97443109,-2584206.45832634,82.800130821656,43.9635267478038,652.878450010093,1,-6.43126015551388,0.00375199224799871,-12.2668193918653,13.8504866072636,0.00152031062998503,0.000394419692689496,-4.01876816135882,0
LEO,65388,STARLINK-34957,4616727.69953888,-4932114.19035118,-1552848.17631571,339.805264143008,19.426335196836,1325.16937341568,1,STARLINK-34957,4616721.53928341,-4932115.62290637,-1552861.95063805,339.804815231279,19.4265851717204,1325.15935182921,1,-6.16025547124445,-1.43255519401282,-13.7743223372381,15.1569428878329,-0.000448911728767598,0.000249974884347637,-10.0215864720212,0
